time upper_pv_pressure
1691264962.5293689 -5407 
1691264973.6249683 -5407 
1691265000.5429146 -5100 
1691265243.5005689 -5713 
1691265321.6770468 -6327 
1691265322.7496436 -3874 
1691265347.792951 -4180 
1691265360.7675498 -2647 
1691265381.7903528 -4180 
1691265494.0969882 -5100 
1691265503.9997735 -4794 
1691265507.0884538 -5407 
1691265512.0345829 -4794 
1691265533.059118 -4487 
1691265534.1327515 -4180 
1691265737.0455396 -5713 
1691265764.1433895 -4180 
1691266011.2272677 -4487 
1691266048.177647 -3874 
1691266483.0899863 -4180 
1691266496.088002 -6020 
1691266528.2133667 -4180 
1691266649.490383 -4487 
1691266672.526735 -6633 
1691266820.8412278 -4794 
1691266933.0200822 -3567 
1691266937.0360434 -2954 
1691266948.010114 -4180 
1691266972.1059737 -3874 
1691266993.1150959 -6020 
1691267000.2173207 -2647 
1691267007.1777403 -5100 
1691267008.103396 -4794 
1691267012.1236205 -4180 
1691267026.1860304 -4794 
1691267116.948867 -4487 
1691267156.0410979 -4180 
1691267166.0680022 -3567 
1691267212.2581422 -4487 
1691267222.162772 -5407 
1691267289.3634896 -4487 
1691267292.310885 -3874 
1691267297.3987665 -4487 
1691267310.373788 -4487 
1691267332.4719846 -5100 
1691267345.446383 -6020 
1691267354.421784 -4794 
1691267465.661182 -5713 
1691267467.6744847 -5100 
1691267470.7467427 -5407 
1691268824.6541824 -4180 
1691268835.6308813 -3260 
1691268846.7465434 -6020 
1691266629.4516127 -6020 
1691266669.4693482 -4180 
1691266675.5038319 -4794 
1691266677.502591 -4794 
1691266702.543067 -2034 
1691266718.6079924 -4180 
1691266746.726328 -4794 
1691266747.6500711 -5713 
1691266765.7352386 -4487 
1691266781.802222 -5100 
1691266800.8027358 -3260 
1691266810.8318856 -4180 
1691266866.925737 -3260 
1691266874.9587364 -3874 
1691266893.9675128 -3567 
1691266906.9459975 -5100 
1691266908.9659624 -5407 
1691266929.9681132 -5407 
1691266947.1048906 -4180 
1691266963.0436888 -2954 
1691266970.134217 -5713 
1691267001.1820846 -6020 
1691267068.2686532 -6633 
1691267069.3336384 -4794 
1691267191.5463123 -6020 
1691267194.632231 -2954 
1691267198.5079005 -5407 
1691267207.6063159 -4794 
1691269475.4093318 -4487 
1691269479.436506 -6020 
1691269502.460911 -3260 
1691269510.4865139 -4794 
1691269511.42045 -4180 
1691269516.5026975 -4487 
1691269529.4983768 -2647 
1691269532.5660741 -6327 
1691269536.5801451 -3874 
1691269544.483926 -2954 
1691269551.5749004 -3260 
1691269558.5354 -4794 
1691269571.6564229 -10313 
1691266903.1185596 -6327 
1691266936.1720273 -4487 
1691266973.2582006 -4180 
1691267019.3139808 -4487 
1691267033.3577328 -5407 
1691266670.689334 -5407 
1691266733.7481992 -4180 
1691266767.8739097 -6633 
1691266786.8845015 -3874 
1691266787.9538975 -5407 
1691266802.9479053 -3260 
1691266808.9813943 -5407 
1691266854.083505 -3567 
1691266859.0435314 -5100 
1691266875.1121068 -5407 
1691266880.053683 -4487 
1691266883.1383 -5407 
1691266888.0867229 -5713 
1691266924.0972273 -6020 
1691266966.2606702 -5407 
1691266987.287567 -4794 
1691266995.3190367 -4180 
1691267037.3490279 -5100 
1691267048.4542577 -2954 
1691267055.4171069 -4180 
1691267123.5636885 -6327 
1691267139.622844 -4487 
1691267187.6722178 -6020 
1691267199.598063 -5407 
1691267209.6273065 -4794 
1691267229.707103 -4487 
1691267232.6492102 -4794 
1691267237.7417626 -4794 
1691267245.770989 -4180 
1691267310.8286579 -3874 
1691267313.9139142 -4180 
1691267357.9516172 -4794 
1691267359.019678 -3874 
1691267360.8967714 -3874 
1691267362.9083056 -5407 
1691267370.9411576 -5713 
1691267384.0605826 -5407 
1691267393.0225606 -4487 
1691267402.0053399 -6940 
1691267427.1691775 -5407 
1691267467.1789463 -5100 
1691267496.2342446 -3260 
1691267497.2982762 -1727 
1691267521.2641916 -4180 
1691267531.3107274 -5407 
1691267556.3367612 -6327 
1691267559.4221082 -4180 
1691267572.4008331 -4180 
1691267594.4983819 -5100 
1691267600.3877835 -3874 
1691267667.3207262 -5100 
1691267695.2882986 -4180 
1691267730.361848 -5100 
1691267743.4794347 -4487 
1691267763.4345067 -4180 
1691267780.5681286 -5100 
1691267842.6822228 -5407 
1691267847.6262329 -2954 
1691267863.6900747 -4487 
1691267869.726407 -5407 
1691267882.69699 -4180 
1691267888.7330096 -3874 
1691267898.7626598 -5407 
1691267914.8288763 -6633 
1691267952.8439252 -5407 
1691267962.8919513 -4180 
1691267973.8663626 -4487 
1691267991.0087821 -4487 
1691267997.9629242 -5407 
1691268016.9719753 -6633 
1691268020.0439749 -4180 
1691268025.0072856 -6020 
1691268051.1052463 -3260 
1691268093.1364446 -4180 
1691268096.2257707 -3874 
1691268201.2987359 -5100 
1691268206.2539976 -3874 
1691268217.36062 -4487 
1691268238.387828 -6327 
1691268245.35428 -4794 
1691268246.4158733 -4180 
1691268271.4421139 -5407 
1691268276.3963573 -4180 
1691268293.5399637 -5407 
1691268294.467372 -4487 
1691268303.562852 -3567 
1691268313.6107361 -4794 
1691268322.5786195 -5407 
1691268327.5415077 -3567 
1691268338.6439111 -4180 
1691268407.7165103 -4180 
1691268422.7101974 -3874 
1691268428.7444701 -6020 
1691269387.1255162 -5407 
1691269392.0887187 -3260 
1691269412.1657503 -2954 
